ADH_Ref_ID,Date,PhaseCode,Crew_ID,Weather_ID,ActualHours,ActualQuantity
A12515,2022-07-15,P64,C1,W1700,4.065420561,13.7388
A12516,2022-06-18,P77,C13,W2151,7.606557377,180.0483871
A12517,2022-05-06,P66,C5,W1329,7.483870968,26.09049774
A12518,2022-03-13,P52,C2,W1275,6.304347826,51.842
A12519,2022-08-05,P41,C6,W2247,7.173144876,42.95961686
A12520,2022-03-12,P61,C7,W1575,3.70212766,44.18
A12521,2022-02-19,P81,C17,W1554,6.770428016,990.735
A12522,2022-06-19,P10,C14,W2153,7.328519856,60.41653543
A12523,2022-07-13,P60,C17,W2200,7.355072464,99.90295082
A12524,2022-05-18,P21,C7,W740,8.754716981,280.9
A12525,2022-10-23,P24,C5,W1499,7.918088737,104.0593939
A12526,2022-02-24,P49,C3,W2469,3.56557377,47.6288
A12527,2022-05-09,P75,C2,W731,6.566037736,140.45
A12528,2022-04-02,P91,C6,W995,2.307692308,213.1935
A12529,2022-01-21,P11,C3,W623,6.666666667,1211.04
A12530,2022-01-26,P14,C1,W929,2.891737892,123.201
A12531,2022-02-26,P45,C11,W57,5.935672515,1637.496
A12532,2022-02-21,P29,C2,W955,2.066508314,212.6892
A12533,2022-05-15,P15,C16,W737,6.566037736,234.0833333
A12534,2022-06-30,P55,C10,W783,6.566037736,432.1538462
A12535,2022-08-06,P24,C16,W2248,8.592592593,18.81290323
A12536,2022-03-30,P74,C13,W89,5.594855305,580.326
A12537,2022-05-15,P67,C13,W1639,3.799126638,10.4882
A12538,2022-05-23,P19,C10,W143,6.00591716,761.6266667
A12539,2022-03-15,P93,C3,W1952,8.083623693,1235.535
A12540,2022-04-27,P60,C19,W117,7.116564417,850.208
A12541,2022-06-25,P34,C5,W778,7.660377358,756.2692308
A12542,2022-09-04,P43,C13,W1751,5.420560748,9.030197183
A12543,2022-08-04,P88,C5,W2245,8.140350877,187.4423077
A12544,2022-08-29,P35,C3,W2294,8.027681661,403.2048276
A12545,2022-04-24,P66,C7,W2033,5.102639296,697.686
A12546,2022-09-30,P81,C8,W2697,6.170212766,63.78930481
A12547,2022-02-06,P37,C2,W940,2.066508314,248.1374
A12548,2022-01-18,P75,C4,W319,3.143631436,81.6966
A12549,2022-03-13,P83,C2,W674,6.105263158,1218.375
A12550,2022-10-15,P26,C6,W890,7.748091603,51.483
A12551,2022-01-12,P89,C18,W1829,6.010362694,6.897962963
A12552,2022-07-07,P34,C16,W2612,7.918088737,480.7544
A12553,2022-08-25,P97,C9,W2286,7.173144876,212.2314
A12554,2022-04-17,P36,C9,W1310,6.548387097,60.87782805
A12555,2022-02-10,P14,C12,W944,2.410926366,177.241
A12556,2022-08-31,P30,C7,W2667,8,336.4
A12557,2022-05-01,P79,C19,W2046,6.766666667,540
A12558,2022-09-10,P89,C10,W1155,2.929292929,235.224
A12559,2022-06-16,P40,C20,W167,5.087719298,1637.496
A12560,2022-05-14,P78,C13,W2072,5.935672515,701.784
A12561,2022-04-21,P45,C16,W1615,4.511111111,70.875
A12562,2022-04-28,P5,C5,W1321,5.612903226,34.78733032
A12563,2022-07-27,P74,C12,W509,6.170212766,83.26230769
A12564,2022-10-20,P62,C11,W594,5.163204748,567.845
A12565,2022-09-06,P24,C15,W2309,7.355072464,66.24
A12566,2022-05-07,P59,C11,W2059,6.835016835,705.672
A12567,2022-10-13,P15,C13,W1188,3.126684636,137.641
A12568,2022-03-12,P87,C18,W372,6.724637681,207.6017442
A12569,2022-09-28,P56,C10,W1474,8,110.295082
A12570,2022-01-02,P48,C3,W1809,5.867052023,23.9432
A12571,2022-01-20,P4,C19,W1223,5.147928994,1599.416
A12572,2022-04-08,P3,C11,W2000,7.972508591,1016.172
A12573,2022-09-06,P86,C18,W249,5.072886297,476.9554054
A12574,2022-05-06,P2,C8,W2056,5.541401274,1183.152
A12575,2022-04-22,P89,C2,W2028,7.204968944,518.42
A12576,2022-07-09,P91,C12,W1092,2.409972299,122.1759375
A12577,2022-08-15,P27,C13,W2266,8.498168498,30.52382253
A12578,2022-08-15,P89,C2,W1731,5.420560748,9.675211268
A12579,2022-05-27,P63,C18,W2103,5.454545455,610.566
A12580,2022-07-23,P15,C15,W2628,6.304347826,50.11578947
A12581,2022-04-29,P67,C5,W420,5.014409222,516.0385714
A12582,2022-05-20,P83,C13,W1043,3.213296399,195.4815
A12583,2022-06-10,P72,C8,W1063,2.345013477,35.90634783
A12584,2022-06-26,P18,C8,W1079,2.345013477,59.84391304
A12585,2022-09-23,P93,C17,W2344,7.19858156,63.78930481
A12586,2022-05-29,P63,C13,W1052,2.811634349,78.1926
A12587,2022-05-14,P91,C4,W2073,5.761589404,1368.06
A12588,2022-05-23,P26,C6,W745,8.754716981,280.9
A12589,2022-10-15,P84,C20,W2387,7.355072464,82.8
A12590,2022-01-17,P40,C8,W2431,6.783625731,40.9374
A12591,2022-09-16,P15,C3,W560,5.612903226,343.2142857
A12592,2022-04-09,P63,C9,W701,8.592592593,437.4
A12593,2022-03-31,P47,C18,W90,6.52733119,773.768
A12594,2022-09-21,P10,C8,W1467,7,137.8688525
A12595,2022-01-02,P14,C2,W303,7.682119205,912.04
A12596,2022-02-23,P92,C5,W957,2.066508314,265.8615
A12597,2022-10-21,P3,C14,W2400,7.355072464,66.24
A12598,2022-03-04,P40,C9,W364,2.563131313,168.8787692
A12599,2022-08-16,P27,C2,W529,6.925373134,1346.7
A12600,2022-02-27,P43,C15,W1261,6.114457831,1543.136
A12601,2022-03-13,P23,C19,W1275,7.204968944,77.763
A12602,2022-06-27,P79,C20,W2168,5.819397993,412.62
A12603,2022-05-14,P19,C9,W2548,5.087719298,1169.64
A12604,2022-02-21,P36,C4,W1255,6.987951807,1543.136
A12605,2022-03-01,P20,C14,W1925,9.169960474,768.108
A12606,2022-07-17,P99,C11,W2208,8.083623693,38.54183871
A12607,2022-07-12,P17,C1,W2199,6.975945017,302.4321429
A12608,2022-07-17,P81,C10,W1100,3.213296399,122.1759375
A12609,2022-06-10,P73,C2,W2135,6.114457831,508.7261538
A12610,2022-02-12,P87,C15,W344,2.196969697,180.9415385
A12611,2022-03-18,P69,C1,W1959,7.837837838,525.696
A12612,2022-10-08,P80,C4,W2705,7.19858156,63.78930481
A12613,2022-10-20,P91,C17,W2717,8.226950355,63.78930481
A12614,2022-04-07,P44,C3,W97,7.116564417,1487.864
A12615,2022-05-29,P46,C3,W2111,7.272727273,1017.61
A12616,2022-02-03,P37,C19,W335,2.357723577,190.6254
A12617,2022-08-04,P50,C14,W818,8.12,250
A12618,2022-01-27,P25,C3,W1531,4.076305221,74.4012
A12619,2022-05-31,P24,C20,W2575,6.096096096,1330.668
A12620,2022-04-05,P37,C10,W1599,4.936170213,77.315
A12621,2022-05-06,P89,C5,W2057,6.420664207,28.91377953
A12622,2022-04-19,P68,C18,W711,7.518518519,437.4
A12623,2022-07-12,P76,C14,W1095,2.811634349,48.870375
A12624,2022-01-15,P29,C3,W1834,5.631067961,50.9232
A12625,2022-02-09,P58,C10,W40,5.087719298,935.712
A12626,2022-05-03,P84,C3,W424,6.685878963,1290.096429
A12627,2022-07-22,P3,C12,W2218,6.258992806,33.60173913
A12628,2022-04-01,P15,C5,W1294,5.403726708,64.8025
A12629,2022-09-19,P15,C2,W2335,7.355072464,55.2
A12630,2022-10-16,P74,C1,W2389,8.405797101,33.12
A12631,2022-07-03,P97,C15,W485,7.631578947,130.464
A12632,2022-08-12,P49,C13,W224,5.918367347,254.3762162
A12633,2022-03-14,P72,C13,W1951,7.25,470.4
A12634,2022-04-09,P83,C5,W2003,7.03030303,1633.5
A12635,2022-06-23,P78,C2,W2598,8.140350877,60.16666667
A12636,2022-01-01,P33,C13,W2415,6.590909091,43.3664
A12637,2022-06-27,P60,C7,W178,5.935672515,935.712
A12638,2022-06-16,P70,C8,W1370,4.25,0.602767811
A12639,2022-08-17,P10,C17,W1733,4.065420561,6.450140845
A12640,2022-06-15,P21,C16,W1670,4.592760181,45.084
A12641,2022-10-19,P87,C2,W2716,8.226950355,63.78930481
A12642,2022-08-20,P99,C1,W2276,6.192170819,209.2986
A12643,2022-03-20,P42,C12,W2493,6.789297659,1251.614
A12644,2022-06-29,P71,C6,W1684,3.936651584,22.542
A12645,2022-07-26,P87,C12,W2631,8.169014085,288.0571429
A12646,2022-01-24,P54,C7,W626,5.833333333,968.832
A12647,2022-08-11,P15,C2,W2259,8.560885609,29.49437751
A12648,2022-08-06,P80,C13,W2248,8.592592593,23.51612903
A12649,2022-03-08,P88,C4,W67,6.52733119,1450.815
A12650,2022-03-12,P2,C20,W1274,5.403726708,77.763
A12651,2022-03-16,P67,C14,W677,8.140350877,487.35
A12652,2022-04-18,P88,C5,W2020,7.532467532,1422.96
A12653,2022-07-20,P27,C10,W2625,6.952054795,92.1772973
A12654,2022-01-27,P100,C7,W1859,7.116564417,26.569
A12655,2022-07-08,P9,C4,W2191,8.226950355,49.49626556
A12656,2022-08-28,P96,C19,W2664,6.148409894,152.7367143
A12657,2022-10-08,P22,C20,W582,6.023738872,1135.69
A12658,2022-10-22,P5,C13,W1197,2.735849057,110.1128
A12659,2022-03-07,P22,C15,W668,8.140350877,974.7
A12660,2022-04-30,P69,C11,W1323,6.548387097,26.09049774
A12661,2022-07-18,P83,C5,W199,5.98820059,1326.011538
A12662,2022-07-20,P64,C3,W502,5.288753799,83.26230769
A12663,2022-08-04,P72,C10,W818,6.96,187.5
A12664,2022-08-10,P36,C4,W2257,6.641221374,188.4345098
A12665,2022-04-15,P66,C5,W2015,7.656765677,550.854
A12666,2022-06-20,P16,C5,W472,6.677631579,243.2
A12667,2022-06-07,P48,C11,W1361,4.25,0.803690415
A12668,2022-09-17,P21,C18,W2331,8.405797101,66.24
A12669,2022-01-19,P34,C6,W1842,5.979381443,52.6904
A12670,2022-10-27,P8,C1,W1503,6.928327645,130.0742424
A12671,2022-01-09,P19,C12,W1823,5.075,40
A12672,2022-02-24,P74,C6,W356,2.929292929,72.37661538
A12673,2022-03-10,P41,C20,W1942,8.375451264,1074.206
A12674,2022-04-16,P59,C20,W1309,7.483870968,34.78733032
A12675,2022-05-21,P58,C8,W743,7.660377358,187.2666667
A12676,2022-06-25,P81,C20,W2164,6.041666667,1244.16
A12677,2022-07-03,P61,C18,W184,6.783625731,935.712
A12678,2022-05-09,P68,C12,W731,8.754716981,140.45
A12679,2022-08-24,P72,C2,W1138,2.735849057,82.5846
A12680,2022-09-14,P19,C8,W859,6.823529412,80.27777778
A12681,2022-05-24,P86,C14,W445,7.318611987,793.3342105
A12682,2022-02-23,P76,C6,W355,2.929292929,72.37661538
A12683,2022-02-08,P78,C6,W1543,7.898832685,396.294
A12684,2022-08-22,P36,C8,W2658,8.169014085,806.56
A12685,2022-01-30,P51,C6,W1865,5.240963855,22.0448
A12686,2022-02-04,P95,C13,W1874,4.853556485,3.400294949
A12687,2022-07-01,P96,C16,W182,5.935672515,612.2128
A12688,2022-06-04,P38,C20,W1358,5.592592593,2.0412
A12689,2022-06-02,P42,C20,W1356,4.518518519,2.0412
A12690,2022-07-28,P12,C4,W1412,5,1.668650794
A12691,2022-09-05,P3,C8,W248,5.072886297,381.5643243
A12692,2022-09-22,P64,C3,W1167,2.563131313,94.0896
A12693,2022-10-12,P25,C17,W1488,5.938566553,104.0593939
A12694,2022-06-02,P67,C3,W1356,3.444444444,0.8748
A12695,2022-03-26,P26,C20,W1975,5.819397993,1072.812
A12696,2022-08-19,P34,C20,W231,5.918367347,445.1583784
A12697,2022-07-09,P3,C11,W1092,2.409972299,97.74075
A12698,2022-04-06,P9,C2,W1997,6.403785489,1507.335
A12699,2022-01-12,P22,C7,W1829,6.010362694,5.51837037
A12700,2022-04-05,P11,C5,W1994,8.055555556,829.44
A12701,2022-08-03,P54,C18,W516,5.288753799,111.0164103
A12702,2022-07-10,P78,C19,W2615,7,132.7894737
A12703,2022-09-27,P57,C7,W1172,2.196969697,125.4528
A12704,2022-03-31,P58,C14,W1984,6.858108108,700.928
A12705,2022-10-22,P64,C2,W897,6.641221374,25.7415
A12706,2022-02-06,P22,C2,W2451,5.867052023,35.9148
A12707,2022-01-24,P33,C8,W325,2.357723577,190.6254
A12708,2022-03-05,P99,C2,W967,2.410926366,92.56532
A12709,2022-04-28,P36,C18,W2040,7.341772152,1397.984
A12710,2022-10-19,P70,C16,W894,6.641221374,25.7415
A12711,2022-06-16,P56,C20,W2147,5.649350649,399.4273684
A12712,2022-03-08,P77,C14,W368,5.043478261,83.04069767
A12713,2022-03-14,P69,C7,W1951,8.285714286,470.4
A12714,2022-10-13,P48,C10,W2383,6.304347826,44.16
A12715,2022-04-16,P13,C1,W407,5.014409222,860.0642857
A12716,2022-01-24,P49,C8,W626,6.666666667,968.832
A12717,2022-03-19,P93,C15,W1281,5.403726708,97.20375
A12718,2022-03-12,P60,C16,W71,5.594855305,773.768
A12719,2022-08-08,P67,C14,W822,6.823529412,54.95070423
A12720,2022-10-15,P35,C20,W890,7.748091603,60.0635
A12721,2022-02-01,P60,C14,W1868,3.815789474,41.5872
A12722,2022-04-24,P52,C11,W1618,4.511111111,40.5
A12723,2022-09-18,P32,C6,W562,6.548387097,480.5
A12724,2022-02-18,P48,C10,W2463,4.677419355,37.6712
A12725,2022-08-29,P61,C6,W2293,7.811447811,271.4123077
A12726,2022-08-24,P20,C19,W2660,8.689138577,45.26285714
A12727,2022-02-09,P78,C10,W1885,4.375,32.2944
A12728,2022-01-19,P10,C14,W320,2.750677507,136.161
A12729,2022-09-24,P25,C18,W2345,8.405797101,66.24
A12730,2022-05-31,P30,C18,W2114,7.22741433,1236.492
A12731,2022-07-09,P65,C16,W1694,4.742990654,13.7388
A12732,2022-08-22,P42,C15,W535,5.194029851,1571.15
A12733,2022-08-02,P92,C17,W1718,4.065420561,34.347
A12734,2022-05-18,P98,C13,W1041,2.811634349,68.16692
A12735,2022-09-10,P44,C18,W2317,6.304347826,77.28
A12736,2022-06-25,P71,C13,W477,7.631578947,145.92
A12737,2022-07-05,P8,C8,W788,6.566037736,810.2884615
A12738,2022-05-02,P30,C15,W1325,6.548387097,52.18099548
A12739,2022-08-22,P50,C13,W2658,8.169014085,460.8914286
A12740,2022-08-07,P39,C11,W2643,7.122807018,162.45
A12741,2022-01-08,P89,C11,W1512,4.076305221,93.0015
A12742,2022-07-31,P44,C9,W212,5.132743363,1237.610769
A12743,2022-02-20,P87,C1,W954,2.410926366,265.8615
A12744,2022-08-13,P30,C3,W225,5.072886297,381.5643243
A12745,2022-10-15,P71,C1,W2388,8.226950355,25.51572193
A12746,2022-02-21,P17,C16,W2466,4.572072072,49.284
A12747,2022-01-24,P75,C11,W325,2.357723577,81.6966
A12748,2022-01-31,P16,C19,W1234,6.863905325,1142.44
A12749,2022-02-25,P96,C10,W357,2.196969697,63.1264
A12750,2022-04-12,P94,C9,W1606,5.155555556,26.725
A12751,2022-02-10,P76,C12,W342,2.196969697,72.37661538
A12752,2022-03-05,P7,C15,W64,6.783625731,701.784
A12753,2022-03-26,P74,C8,W1974,7.25,614.4
A12754,2022-06-25,P4,C4,W1078,2.735849057,83.78147826
A12755,2022-01-18,P13,C9,W921,2.891737892,123.201
A12756,2022-05-25,P89,C1,W2094,5.723684211,1386.24
A12757,2022-06-24,P9,C18,W2599,8.436363636,33.26612903
A12758,2022-02-26,P5,C17,W1919,4.159836066,47.6288
A12759,2022-03-25,P58,C2,W1973,7.557003257,753.992
A12760,2022-06-23,P29,C13,W174,5.935672515,1403.568
A12761,2022-08-17,P19,C15,W831,9.098039216,91.58450704
A12762,2022-01-03,P61,C1,W1811,4.652406417,27.9752
A12763,2022-06-19,P64,C11,W170,6.783625731,701.784
A12764,2022-04-13,P12,C6,W705,8.592592593,729
A12765,2022-01-02,P99,C17,W303,6.721854305,478.2608
A12766,2022-06-23,P74,C19,W2161,7.122807018,60.16666667
A12767,2022-01-04,P5,C15,W1508,7.463235294,591.872
A12768,2022-07-25,P82,C8,W2225,8.624535316,43.59096386
A12769,2022-07-17,P50,C2,W2209,7.355072464,13.88173121
A12770,2022-01-12,P12,C16,W1516,4.076305221,62.001
A12771,2022-09-15,P57,C13,W2682,6.170212766,34.02096257
A12772,2022-02-14,P60,C2,W647,7.483870968,768.8
A12773,2022-01-17,P98,C14,W1521,4.658634538,32.64052
A12774,2022-09-10,P3,C3,W554,5.612903226,411.8571429
A12775,2022-08-05,P64,C4,W217,6.843657817,530.4046154
A12776,2022-02-07,P71,C15,W1880,5.546448087,20.0934
A12777,2022-05-17,P8,C15,W137,6.863905325,1142.44
A12778,2022-04-20,P78,C1,W712,6.444444444,437.4
A12779,2022-10-14,P41,C7,W2386,8.405797101,77.28
A12780,2022-10-03,P6,C12,W2364,8.226950355,34.02096257
A12781,2022-09-23,P28,C19,W2690,6.170212766,51.03144385
A12782,2022-05-27,P70,C12,W147,6.00591716,456.976
A12783,2022-08-21,P52,C9,W2278,7.490774908,27.97752381
A12784,2022-05-11,P65,C1,W2066,8.197879859,12.95239892
A12785,2022-07-10,P34,C16,W1394,5,2.336111111
A12786,2022-01-09,P56,C7,W1513,4.658634538,49.6008
A12787,2022-08-28,P75,C12,W2292,6.952054795,14.61668571
A12788,2022-03-06,P27,C7,W366,3.036649215,175.1088
A12789,2022-04-09,P34,C5,W99,5.337423313,1487.864
A12790,2022-05-29,P6,C14,W450,7.318611987,423.1115789
A12791,2022-06-18,P60,C5,W1673,5.248868778,30.056
A12792,2022-07-28,P59,C14,W2633,6.020761246,102.7950769
A12793,2022-08-14,P84,C17,W2264,7.868217054,22.74396355
A12794,2022-02-21,P59,C9,W955,2.755344418,141.7928
A12795,2022-06-11,P58,C18,W1365,3.214285714,0.803690415
A12796,2022-10-25,P99,C4,W900,6.641221374,26.3093
A12797,2022-04-13,P15,C4,W103,5.337423313,1062.76
A12798,2022-02-16,P74,C9,W1898,5.132743363,30.6456
A12799,2022-01-15,P96,C20,W1834,5.631067961,22.46672
A12800,2022-03-08,P19,C7,W1939,6.823529412,650.25
A12801,2022-07-29,P5,C20,W2232,5.780730897,402.6711111
A12802,2022-02-07,P79,C15,W640,5.612903226,576.6
A12803,2022-06-11,P29,C9,W1365,3.214285714,1.205535623
A12804,2022-07-09,P68,C1,W2193,8,68.18918919
A12805,2022-08-27,P54,C14,W841,9.098039216,73.26760563
A12806,2022-07-09,P42,C6,W1694,5.420560748,32.0572
A12807,2022-10-15,P56,C12,W2712,7.19858156,34.02096257
A12808,2022-01-11,P38,C14,W1214,6.00591716,1599.416
A12809,2022-01-26,P55,C19,W1856,3.849557522,29.18628571
A12810,2022-09-13,P6,C14,W2323,8.226950355,34.02096257
A12811,2022-01-29,P6,C4,W1232,5.147928994,913.952
A12812,2022-01-19,P55,C15,W1842,4.484536082,30.1088
A12813,2022-04-09,P94,C16,W1002,2.678100264,15.04574902
A12814,2022-08-28,P29,C6,W2292,6.952054795,29.23337143
A12815,2022-10-12,P26,C6,W1187,2.345013477,165.1692
A12816,2022-04-05,P30,C17,W1298,5.403726708,77.763
A12817,2022-09-18,P4,C6,W261,5.37037037,272.16
A12818,2022-09-11,P15,C20,W2320,6.304347826,55.2
A12819,2022-10-09,P35,C3,W2376,7.19858156,59.53668449
A12820,2022-03-17,P69,C17,W979,2.307692308,85.2774
A12821,2022-09-09,P50,C3,W252,5.37037037,155.52
A12822,2022-10-12,P34,C10,W2381,6.304347826,77.28
A12823,2022-09-21,P17,C10,W2339,8.405797101,55.2
A12824,2022-10-19,P87,C9,W1796,5.178571429,4.704
A12825,2022-04-25,P13,C16,W1018,2.678100264,28.16490196
A12826,2022-09-21,P64,C2,W866,9.098039216,48.16666667
A12827,2022-07-05,P57,C7,W1389,4.25,0.803690415
A12828,2022-01-06,P61,C7,W2420,4.554973822,29.1848
A12829,2022-03-16,P66,C6,W1954,6.041666667,497.664
A12830,2022-03-22,P52,C7,W984,2.307692308,113.7032
A12831,2022-03-10,P18,C19,W1943,6.666666667,681.21
A12832,2022-06-04,P43,C6,W2123,7.532467532,1328.096
A12833,2022-09-18,P38,C16,W1163,2.196969697,219.5424
A12834,2022-09-01,P71,C14,W545,6.059701493,673.35
A12835,2022-09-18,P55,C19,W1163,2.929292929,125.4528
A12836,2022-06-16,P53,C16,W1370,5.285714286,0.803690415
A12837,2022-02-05,P5,C1,W1540,4.718631179,2.510671506
A12838,2022-05-18,P57,C5,W1642,3.799126638,13.98426667
A12839,2022-06-06,P95,C5,W2581,6.590909091,497.2928
A12840,2022-07-01,P69,C1,W784,6.566037736,324.1153846
A12841,2022-03-18,P81,C4,W980,3.076923077,213.1935
A12842,2022-10-06,P10,C6,W2703,7.19858156,42.52620321
A12843,2022-09-01,P48,C20,W2668,7.972508591,54.19584
A12844,2022-02-18,P25,C8,W1903,4.246861925,17.1363
A12845,2022-09-24,P99,C10,W267,7.160493827,105.088
A12846,2022-10-04,P71,C16,W578,5.612903226,205.9285714
A12847,2022-10-04,P10,C3,W1781,4.677419355,5.81345679
A12848,2022-05-22,P3,C18,W1045,3.213296399,156.3852
A12849,2022-02-14,P47,C1,W2459,6.304347826,27.0848
A12850,2022-09-02,P61,C18,W1448,5.8,17.18377088
A12851,2022-09-06,P27,C15,W1151,2.735849057,165.1692
A12852,2022-10-16,P97,C20,W1492,6.928327645,49.09240404
A12853,2022-01-20,P66,C14,W923,2.478632479,73.9206
A12854,2022-03-27,P99,C19,W387,5.884057971,75.96860465
A12855,2022-05-31,P97,C11,W2115,6.966966967,580.6228
A12856,2022-05-27,P70,C15,W749,7.660377358,140.45
A12857,2022-08-01,P34,C5,W213,6.843657817,1237.610769
A12858,2022-08-16,P72,C10,W228,6.763848397,190.7821622
A12859,2022-10-09,P8,C17,W2375,8.405797101,82.8
A12860,2022-10-25,P31,C19,W2722,7.19858156,59.53668449
A12861,2022-02-15,P75,C11,W648,5.612903226,576.6
A12862,2022-07-16,P70,C12,W1701,4.065420561,13.7388
A12863,2022-10-23,P74,C11,W898,7.748091603,25.7415
A12864,2022-02-22,P48,C20,W1910,3.493975904,49.6008
A12865,2022-05-16,P20,C4,W1039,3.213296399,156.3852
A12866,2022-10-15,P36,C16,W288,7.557003257,549.7858333
A12867,2022-06-12,P26,C9,W2138,6.946107784,1338.672
A12868,2022-01-28,P29,C10,W931,3.304843305,147.8412
A12869,2022-05-28,P92,C13,W449,6.403785489,793.3342105
A12870,2022-10-13,P68,C9,W2383,8.405797101,33.12
A12871,2022-07-29,P86,C13,W1112,2.409972299,122.1759375
A12872,2022-01-09,P29,C9,W912,2.891737892,147.8412
A12873,2022-02-05,P51,C8,W1540,3.615969582,2.510671506
A12874,2022-05-24,P85,C8,W2093,6.06271777,68.64083333
A12875,2022-06-11,P32,C17,W2136,6.987951807,1543.136
A12876,2022-07-11,P67,C9,W1395,3,1.001190476
A12877,2022-10-28,P8,C11,W602,5.163204748,1419.6125
A12878,2022-03-11,P52,C7,W672,6.105263158,649.8
A12879,2022-09-04,P3,C7,W849,9.098039216,109.9014085
A12880,2022-02-15,P30,C4,W949,2.066508314,212.6892
A12881,2022-06-17,P21,C7,W1371,3.214285714,1.205535623
A12882,2022-02-24,P27,C3,W1559,7.898832685,792.588
A12883,2022-09-15,P73,C18,W2327,6.304347826,33.12
A12884,2022-07-12,P29,C15,W193,5.132743363,1060.809231
A12885,2022-08-27,P34,C13,W2663,8.083623693,311.6664865
A12886,2022-02-17,P89,C17,W349,2.929292929,180.9415385
A12887,2022-08-25,P54,C3,W839,6.823529412,73.26760563
A12888,2022-10-13,P16,C13,W2710,6.170212766,42.52620321
A12889,2022-05-30,P88,C4,W1353,5.592592593,2.187
A12890,2022-04-30,P12,C6,W1023,2.678100264,28.16490196
A12891,2022-05-04,P4,C8,W1628,4.511111111,70.875
A12892,2022-08-12,P86,C15,W525,6.059701493,1683.375
A12893,2022-01-21,P54,C13,W21,6.925373134,897.8
A12894,2022-06-22,P52,C17,W2158,6.214285714,313.6
A12895,2022-03-07,P39,C15,W66,6.52733119,1354.094
A12896,2022-05-30,P7,C10,W1353,3.444444444,0.8748
A12897,2022-06-26,P47,C12,W478,6.677631579,194.56
A12898,2022-04-14,P37,C6,W2013,7.557003257,1319.486
A12899,2022-04-26,P76,C3,W2530,6.096096096,665.334
A12900,2022-08-19,P25,C12,W833,6.823529412,109.9014085
A12901,2022-03-06,P96,C12,W667,7.435897436,47.264
A12902,2022-06-22,P25,C4,W173,5.935672515,1403.568
A12903,2022-10-24,P13,C15,W2406,8.226950355,42.52620321
A12904,2022-10-25,P23,C6,W1501,7.918088737,104.0593939
A12905,2022-02-26,P71,C15,W57,5.087719298,701.784
A12906,2022-04-29,P30,C1,W721,6.444444444,874.8
A12907,2022-07-14,P14,C7,W1699,4.065420561,22.898
A12908,2022-04-17,P27,C1,W1310,5.612903226,52.18099548
A12909,2022-05-05,P100,C9,W2539,6.655737705,516.8055556
A12910,2022-09-22,P80,C19,W2341,7.355072464,82.8
A12911,2022-02-11,P9,C5,W42,5.087719298,1754.46
A12912,2022-09-07,P74,C19,W1453,8,82.72131148
A12913,2022-02-12,P45,C17,W946,2.066508314,248.1374
A12914,2022-05-22,P72,C11,W2089,6.548387097,134.0930233
A12915,2022-08-19,P29,C7,W1735,4.065420561,7.740169014
A12916,2022-10-26,P65,C1,W901,7.748091603,25.7415
A12917,2022-05-25,P78,C4,W2094,7.631578947,554.496
A12918,2022-07-04,P15,C20,W787,7.660377358,540.1923077
A12919,2022-08-15,P16,C17,W528,5.194029851,1122.25
A12920,2022-09-15,P100,C11,W2328,6.170212766,42.52620321
A12921,2022-07-22,P22,C10,W2219,7.173144876,320.356
A12922,2022-08-22,P7,C14,W234,6.763848397,190.7821622
A12923,2022-06-18,P6,C14,W2151,6.655737705,240.0645161
A12924,2022-08-16,P30,C11,W1130,3.126684636,165.1692
A12925,2022-08-30,P3,C1,W2295,7.733333333,490.9090909
A12926,2022-07-03,P100,C3,W2608,6.327272727,38.00251256
A12927,2022-04-14,P46,C12,W1608,4.511111111,70.875
A12928,2022-09-29,P7,C11,W272,6.265432099,116.64
A12929,2022-01-16,P80,C11,W2430,5.638888889,48.6
A12930,2022-03-21,P6,C2,W2494,7.631578947,739.328
A12931,2022-07-16,P17,C6,W498,6.170212766,138.7705128
A12932,2022-01-03,P36,C1,W605,7.25,1433.6
A12933,2022-03-04,P3,C10,W1266,6.987951807,1322.688
A12934,2022-06-12,P94,C19,W2139,7.532467532,497.2928
A12935,2022-04-29,P41,C12,W119,5.337423313,1487.864
A12936,2022-10-22,P73,C20,W1799,5.178571429,1.8816
A12937,2022-07-16,P23,C18,W1099,2.811634349,97.74075
A12938,2022-09-27,P13,C15,W2351,7.355072464,55.2
A12939,2022-03-23,P91,C14,W1586,4.319148936,82.8375
A12940,2022-03-29,P89,C10,W1981,5.858585859,1323.135
A12941,2022-05-21,P34,C4,W1044,3.213296399,182.4494
A12942,2022-05-12,P36,C4,W2069,5.576923077,1048.32
A12943,2022-10-06,P73,C8,W881,6.823529412,48.16666667
A12944,2022-05-26,P40,C2,W1650,5.065502183,24.47246667
A12945,2022-01-27,P44,C3,W1531,3.493975904,86.8014
A12946,2022-08-20,P53,C17,W834,9.098039216,73.26760563
A12947,2022-08-28,P72,C18,W1744,4.065420561,3.870084507
A12948,2022-03-20,P34,C12,W982,2.692307692,198.9806
A12949,2022-06-23,P94,C1,W776,6.566037736,284.9
A12950,2022-07-02,P35,C12,W484,7.631578947,340.48
A12951,2022-10-28,P76,C1,W2414,7.19858156,25.51572193
A12952,2022-04-21,P54,C6,W2525,6.403785489,472.8894118
A12953,2022-05-31,P63,C13,W2115,6.096096096,665.334
A12954,2022-05-23,P62,C19,W745,7.660377358,140.45
A12955,2022-09-07,P94,C12,W250,7.160493827,105.088
